column,null_pct,min,max,mean,std,outlier_5sigma_pct_sample,negative
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.6190185546875,0.2098309734917968,0.2154979780573061,0.0,False
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.783935546875,0.16611717274288618,0.2044505357569421,0.0,False
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.6373291015625,0.07647369171499042,0.10242053571450434,0.0013946845781358087,False
MW4_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.9244384765625,0.6567435156212582,0.10680002115685423,0.12942672885100306,False
MW3_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.93572998046875,0.6536248063277871,0.13521019522099384,0.0,False
MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.62554931640625,0.20340591040212944,0.2131809319565769,0.0,False
MW1_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.92510986328125,0.6552113835010456,0.10873029459989217,0.2917680137460112,False
MW2_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.425048828125,0.2471881232301158,0.032512631338973065,0.10739071251645728,False
MW2_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.92877197265625,0.661888663735663,0.10681919089849798,0.11589828844308571,False
MW3_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.92352294921875,0.6595053747012275,0.10664667719599344,0.13291344029634258,False
MW4_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.43115234375,0.2081573215738792,0.03832717982720382,0.0831232008568942,False
MW3_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.60467529296875,0.18832392412742865,0.20603418005209784,0.0,False
CW1_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.91943359375,0.6629976861665613,0.10588087715089514,0.12119808984000179,False
CW2_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.43927001953125,0.24293615217932638,0.03158216373062396,0.08284426394126704,False
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.77783203125,0.1672182788766615,0.20496779420270025,0.0,False
CW1_MAIN_RESERVOIR_PRESSURE,0.0,0.0,1.1463623046875,0.903327740153671,0.06323319175716008,0.29943877892575815,False
CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.62847900390625,0.20624080645160572,0.21647060074578145,0.0,False
MW1_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,0.61614990234375,0.19360522641014016,0.20691918162269046,0.0,False
MW2_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,0.58740234375,0.19102059524910053,0.20282569977200265,0.0,False
CW2_MAIN_RESERVOIR_PRESSURE,0.0,0.0,1.13909912109375,0.8983912559215265,0.06440161991357625,0.3129672193336755,False
MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.63177490234375,0.20506031210692965,0.21496900601309443,0.0,False
MW2_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.78271484375,0.1675589372052701,0.2052152253349931,0.0,False
CW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.61102294921875,0.09229625729605243,0.11165728667724965,0.0,False
CW2_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.74200439453125,0.07607681478366228,0.10253247063035015,0.00013946845781358087,False
CW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.6202392578125,0.20136922505263366,0.2143510532876071,0.0,False
MW3_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,0.61114501953125,0.19135822728085858,0.2040314471356277,0.0,False
CW1_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,1.0,0.14990492696443147,0.19376970059007081,0.0,False
MW3_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.44000244140625,0.217555302597452,0.04469351194788315,0.0,False
MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.61834716796875,0.20797594894160626,0.2160813694915116,0.0,False
CW1_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.5770263671875,0.1812183386894319,0.19744015133835127,0.0,False
MW3_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.78350830078125,0.1668267446255203,0.20445797728588957,0.0,False
MW1_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.78271484375,0.16744293190767973,0.2054664345595538,0.0,False
MW4_LOAD_SIGNAL,0.0,0.0,0.9402817487716675,0.3091769835041712,0.3989676053468269,0.0,False
MW4_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,0.6077880859375,0.1953169745822595,0.20732830930850069,0.0,False
MW3_ENERGY_BRAKING_RESISTANCE,0.0,0.0,0.4030939042568207,0.3780132290320698,0.02000529785082089,0.06541070671456943,False
MW1_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.61370849609375,0.19315302368423584,0.20697158550963027,0.0,False
MW4_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.91009521484375,0.6565241421771033,0.10713548691501677,0.12886885501974873,False
MW1_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.44000244140625,0.22735672096432932,0.03587269950759075,0.2857708700600272,False
CW1_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.450439453125,0.26163199150498845,0.03468353594051065,0.058995157655144716,False
MW3_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.6177978515625,0.20139213361889047,0.21522728448672657,0.0,False
MW1_LOAD_SIGNAL,0.0,0.0,0.9402817487716675,0.038353944236294256,0.11551197638187612,1.0185381474125812,False
MW4_ENERGY_BRAKING_RESISTANCE,0.0,0.0,0.40127021074295044,0.3878809696514478,0.013211521443696908,0.06596858054582376,False
CW2_LOAD_SIGNAL,0.0,0.0,1.0,0.03356637693470694,0.07778436224348259,0.4450438488831366,False
MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.62677001953125,0.20547200301108906,0.21489845637186705,0.0,False
CW2_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.42926025390625,0.2247356646029921,0.03377370387047429,0.09707004663825229,False
CW2_SPRING_BRAKE_PRESSURE_BOGIE2,0.0,0.0,0.92523193359375,0.6639829362887167,0.10521617190715711,0.1072512440586437,False
MW2_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.412109375,0.20465969373639362,0.03790227451463367,0.09400174056635352,False
MW2_ENERGY_BRAKING_RESISTANCE,0.0,0.0,0.6897993683815002,0.6463759579442943,0.032805149522819106,0.06527123825675585,False
MW3_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.619140625,0.2046087344426683,0.21335722910029142,0.0,False
MW2_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.58917236328125,0.18858850940189054,0.20072916566813936,0.0,False
MW1_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.776611328125,0.16664732921828385,0.20468420593159525,0.0,False
CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.0,0.0,0.6214599609375,0.0968445406523402,0.11199155860430046,0.0,False
MW4_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.61053466796875,0.19075136848071883,0.20430472795830912,0.0,False
CW2_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.0,0.0,1.0,0.1439944600044176,0.19406327424860872,0.0,False
CW1_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.91302490234375,0.610254516210006,0.20275475005575117,0.0,False
MW3_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.774169921875,0.16438451575364926,0.20330366794841942,0.0,False
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.77374267578125,0.16393743548245052,0.20292608598478834,0.0,False
CW1_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.44000244140625,0.22037585773359097,0.03599919202764206,0.09163077678352263,False
MW1_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.90447998046875,0.6557952720613137,0.10602172196011617,0.15132327672773527,False
MW4_LOAD_PRESSURE_BOGIE2,0.0,0.0,0.46343994140625,0.2642660612537446,0.03561009305361888,0.08382054314596211,False
CW2_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.89666748046875,0.602775585374285,0.19601215937321792,0.0,False
CW2_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.0,0.0,0.57257080078125,0.178885170456436,0.19595761646454643,0.0,False
MW2_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.0,0.0,0.77294921875,0.1674716995439979,0.20469029677819128,0.0,False
MW2_LOAD_SIGNAL,0.0,0.0,0.9402817487716675,0.37425721025089215,0.43645078000880655,0.0,False
MW2_SPRING_BRAKE_PRESSURE_BOGIE1,0.0,0.0,0.9329833984375,0.662940630860235,0.10555565306006627,0.1393289893557673,False
MW1_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.4300537109375,0.23630778919530587,0.03519924368094713,0.11478254078057706,False
CW1_LOAD_SIGNAL,0.0,0.0,1.0,0.0622856203038776,0.11260725290762824,0.4202184633923192,False
MW3_LOAD_SIGNAL,0.0,0.0,0.9402817487716675,0.0426605978604213,0.14513756092239832,2.193141499118559,False
CW2_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.0,0.0,0.788818359375,0.16232956157181297,0.20308130395023932,0.0,False
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.0,0.0,0.615478515625,0.20621366833463806,0.2145386420792357,0.0,False
MW3_LOAD_PRESSURE_BOGIE1,0.0,0.0,0.43115234375,0.24006188275092363,0.03049121091886895,0.2107368397563207,False
MW1_ENERGY_BRAKING_RESISTANCE,0.0,0.0,0.7293612957000732,0.6907615467000617,0.03221990835509308,0.06582911208801018,False
AMBIENT_TEMPERATURE,0.0,-0.0179443359375,0.1929931640625,0.09384625465304723,0.04293933202238357,0.0,True
TRAIN_SPEED_ACTUAL,0.0,0.0,1.0340023040771484,0.2704975181641813,0.33966504148495635,0.0,False
